"Bowling_Team","Bowler","Runs","Wickets","Balls","Batting_Team","Stadium","Season","Average","Economy"
"Rajasthan Royals","Yuzvendra Chahal",527,27,408,"All","All","All",19.5185185185185,7.75
"Rising Pune Supergiants","Adam Zampa",278,19,221,"All","All","All",14.6315789473684,7.54751131221719
"Rising Pune Supergiants","Albie Morkel",66,2,30,"All","All","All",33,13.2
"Rising Pune Supergiants","Ankit Sharma",100,1,72,"All","All","All",100,8.33333333333333
"Rising Pune Supergiants","Ashok Dinda",350,12,243,"All","All","All",29.1666666666667,8.64197530864198
"Rising Pune Supergiants","Ben Stokes",316,12,264,"All","All","All",26.3333333333333,7.18181818181818
"Rising Pune Supergiants","Dan Christian",298,11,240,"All","All","All",27.0909090909091,7.45
"Rising Pune Supergiants","Deepak Chahar",115,1,72,"All","All","All",115,9.58333333333333
"Rising Pune Supergiants","Imran Tahir",369,18,282,"All","All","All",20.5,7.85106382978723
"Rising Pune Supergiants","Irfan Pathan",61,0,48,"All","All","All",Inf,7.625
"Rising Pune Supergiants","Ishant Sharma",148,3,90,"All","All","All",49.3333333333333,9.86666666666667
"Rising Pune Supergiants","Jaydev Unadkat",322,24,275,"All","All","All",13.4166666666667,7.02545454545455
"Rising Pune Supergiants","Lockie Ferguson",93,3,78,"All","All","All",31,7.15384615384615
"Rising Pune Supergiants","Mitchell Marsh",45,4,54,"All","All","All",11.25,5
"Rising Pune Supergiants","Murugan Ashwin",241,7,171,"All","All","All",34.4285714285714,8.45614035087719
"Rising Pune Supergiants","RP Singh",111,3,72,"All","All","All",37,9.25
"Rising Pune Supergiants","Rahul Chahar",58,2,42,"All","All","All",29,8.28571428571428
"Rising Pune Supergiants","Rahul Tripathi",12,0,6,"All","All","All",Inf,12
"Rising Pune Supergiants","Rajat Bhatia",299,8,246,"All","All","All",37.375,7.29268292682927
"Rising Pune Supergiants","Ravichandran Ashwin",319,10,264,"All","All","All",31.9,7.25
"Rising Pune Supergiants","Scott Boland",54,2,42,"All","All","All",27,7.71428571428572
"Rising Pune Supergiants","Shardul Thakur",315,11,229,"All","All","All",28.6363636363636,8.25327510917031
"Rising Pune Supergiants","Thisara Perera",326,9,199,"All","All","All",36.2222222222222,9.82914572864322
"Rising Pune Supergiants","Washington Sundar",185,8,180,"All","All","All",23.125,6.16666666666667
"Royal Challengers Bangalore","Abdur Razzak",29,0,12,"All","All","All",Inf,14.5
"Royal Challengers Bangalore","Abhimanyu Mithun",472,7,288,"All","All","All",67.4285714285714,9.83333333333333
"Royal Challengers Bangalore","Abrar Kazi",21,0,12,"All","All","All",Inf,10.5
"Royal Challengers Bangalore","Abu Nechim",241,4,158,"All","All","All",60.25,9.15189873417721
"Royal Challengers Bangalore","Adam Milne",177,4,108,"All","All","All",44.25,9.83333333333333
"Royal Challengers Bangalore","Adam Zampa",92,2,66,"All","All","All",46,8.36363636363636
"Royal Challengers Bangalore","Akash Deep",205,5,113,"All","All","All",41,10.8849557522124
"Royal Challengers Bangalore","Albie Morkel",126,4,96,"All","All","All",31.5,7.875
"Royal Challengers Bangalore","Andrew McDonald",78,6,72,"All","All","All",13,6.5
"Royal Challengers Bangalore","Aniket Choudhary",144,5,101,"All","All","All",28.8,8.55445544554455
"Royal Challengers Bangalore","Anil Kumble",1058,45,965,"All","All","All",23.5111111111111,6.57823834196891
"Royal Challengers Bangalore","Asad Pathan",63,0,39,"All","All","All",Inf,9.69230769230769
"Royal Challengers Bangalore","Ashley Noffke",40,1,24,"All","All","All",40,10
"Royal Challengers Bangalore","Ashok Dinda",332,5,216,"All","All","All",66.4,9.22222222222222
"Royal Challengers Bangalore","Avesh Khan",23,1,24,"All","All","All",23,5.75
"Royal Challengers Bangalore","Balachandra Akhil",220,6,176,"All","All","All",36.6666666666667,7.5
"Royal Challengers Bangalore","Billy Stanlake",70,2,48,"All","All","All",35,8.75
