"Batting_Team","Striker","Bowling_Team","Stadium","Runs","Dismissed","Balls","Season","Average","Strike_Rate"
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Dubai International Cricket Stadium",17,1,16,"All",17,106.25
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Eden Gardens",81,1,58,"All",81,139.655172413793
"Chennai Super Kings","MS Dhoni","Mumbai Indians","M Chinnaswamy Stadium",51,0,20,"All",Inf,255
"Chennai Super Kings","MS Dhoni","Mumbai Indians","MA Chidambaram Stadium",192,4,127,"All",48,151.181102362205
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Maharashtra Cricket Association Stadium",26,1,21,"All",26,123.809523809524
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Newlands",36,1,26,"All",36,138.461538461538
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Rajiv Gandhi International Stadium",2,1,8,"All",2,25
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Sharjah Cricket Stadium",16,1,16,"All",16,100
"Chennai Super Kings","MS Dhoni","Mumbai Indians","St George's Park",23,0,22,"All",Inf,104.545454545455
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Wankhede Stadium",159,7,146,"All",22.7142857142857,108.904109589041
"Chennai Super Kings","MS Dhoni","Mumbai Indians","Zayed Cricket Stadium",0,0,2,"All",NA,0
"Chennai Super Kings","MS Dhoni","Pune Warriors","MA Chidambaram Stadium",64,2,46,"All",32,139.130434782609
"Chennai Super Kings","MS Dhoni","Pune Warriors","Subrata Roy Sahara Stadium",71,1,44,"All",71,161.363636363636
"Chennai Super Kings","MS Dhoni","Punjab Kings","Barabati Stadium",23,1,20,"All",23,115
"Chennai Super Kings","MS Dhoni","Punjab Kings","Brabourne Stadium",23,1,28,"All",23,82.1428571428571
"Chennai Super Kings","MS Dhoni","Punjab Kings","Dubai International Cricket Stadium",12,1,15,"All",12,80
"Chennai Super Kings","MS Dhoni","Punjab Kings","Himachal Pradesh Cricket Association Stadium",60,1,45,"All",60,133.333333333333
"Chennai Super Kings","MS Dhoni","Punjab Kings","Kingsmead",2,1,2,"All",2,100
"Chennai Super Kings","MS Dhoni","Punjab Kings","MA Chidambaram Stadium",141,2,99,"All",70.5,142.424242424242
"Chennai Super Kings","MS Dhoni","Punjab Kings","Maharashtra Cricket Association Stadium",16,0,7,"All",Inf,228.571428571429
"Chennai Super Kings","MS Dhoni","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",89,0,56,"All",Inf,158.928571428571
"Chennai Super Kings","MS Dhoni","Punjab Kings","Punjab Cricket Association Stadium",70,2,39,"All",35,179.48717948718
"Chennai Super Kings","MS Dhoni","Punjab Kings","Sheikh Zayed Stadium",26,1,11,"All",26,236.363636363636
"Chennai Super Kings","MS Dhoni","Punjab Kings","SuperSport Park",56,0,27,"All",Inf,207.407407407407
"Chennai Super Kings","MS Dhoni","Punjab Kings","Wankhede Stadium",54,1,39,"All",54,138.461538461538
"Chennai Super Kings","MS Dhoni","Rajasthan Royals","Brabourne Stadium",26,1,28,"All",26,92.8571428571429
"Chennai Super Kings","MS Dhoni","Rajasthan Royals","Dr DY Patil Sports Academy",29,0,17,"All",Inf,170.588235294118
"Chennai Super Kings","MS Dhoni","Rajasthan Royals","Dubai International Cricket Stadium",5,1,8,"All",5,62.5
"Chennai Super Kings","MS Dhoni","Rajasthan Royals","JSCA International Stadium Complex",26,0,16,"All",Inf,162.5
"Chennai Super Kings","MS Dhoni","Rajasthan Royals","MA Chidambaram Stadium",136,3,90,"All",45.3333333333333,151.111111111111
