"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Chennai Super Kings","Dwayne Bravo",2019,"Rajiv Gandhi International Stadium",15,1,15,"All",15,100
"Chennai Super Kings","Dwayne Bravo",2019,"Wankhede Stadium",8,1,9,"All",8,88.8888888888889
"Chennai Super Kings","Dwayne Bravo",2020,"Dubai International Cricket Stadium",7,2,6,"All",3.5,116.666666666667
"Chennai Super Kings","Dwayne Bravo",2021,"Dubai International Cricket Stadium",27,1,10,"All",27,270
"Chennai Super Kings","Dwayne Bravo",2021,"Wankhede Stadium",20,0,8,"All",Inf,250
"Chennai Super Kings","Dwayne Bravo",2022,"Brabourne Stadium",1,1,2,"All",1,50
"Chennai Super Kings","Dwayne Bravo",2022,"Dr DY Patil Sports Academy",10,0,7,"All",Inf,142.857142857143
"Chennai Super Kings","Dwayne Bravo",2022,"Wankhede Stadium",12,1,15,"All",12,80
"Chennai Super Kings","Dwayne Smith",2014,"Barabati Stadium",4,1,4,"All",4,100
"Chennai Super Kings","Dwayne Smith",2014,"Brabourne Stadium",24,1,20,"All",24,120
"Chennai Super Kings","Dwayne Smith",2014,"Dubai International Cricket Stadium",79,2,50,"All",39.5,158
"Chennai Super Kings","Dwayne Smith",2014,"Eden Gardens",5,1,6,"All",5,83.3333333333333
"Chennai Super Kings","Dwayne Smith",2014,"Feroz Shah Kotla",79,1,51,"All",79,154.901960784314
"Chennai Super Kings","Dwayne Smith",2014,"JSCA International Stadium Complex",116,4,89,"All",29,130.337078651685
"Chennai Super Kings","Dwayne Smith",2014,"M Chinnaswamy Stadium",34,1,17,"All",34,200
"Chennai Super Kings","Dwayne Smith",2014,"Sharjah Cricket Stadium",66,1,46,"All",66,143.478260869565
"Chennai Super Kings","Dwayne Smith",2014,"Sheikh Zayed Stadium",95,2,71,"All",47.5,133.802816901408
"Chennai Super Kings","Dwayne Smith",2014,"Wankhede Stadium",64,2,62,"All",32,103.225806451613
"Chennai Super Kings","Dwayne Smith",2015,"Eden Gardens",57,2,49,"All",28.5,116.326530612245
"Chennai Super Kings","Dwayne Smith",2015,"JSCA International Stadium Complex",17,1,12,"All",17,141.666666666667
"Chennai Super Kings","Dwayne Smith",2015,"M Chinnaswamy Stadium",39,1,29,"All",39,134.48275862069
"Chennai Super Kings","Dwayne Smith",2015,"MA Chidambaram Stadium",145,7,139,"All",20.7142857142857,104.31654676259
"Chennai Super Kings","Dwayne Smith",2015,"Rajiv Gandhi International Stadium",21,1,19,"All",21,110.526315789474
"Chennai Super Kings","Dwayne Smith",2015,"Sardar Patel Stadium",40,1,29,"All",40,137.931034482759
"Chennai Super Kings","Dwayne Smith",2015,"Shaheed Veer Narayan Singh International Stadium",18,1,24,"All",18,75
