"Batting_Team","Striker","Bowling_Team","Stadium","Season","Runs","Wickets","Balls","Average","Strike_Rate"
"Chennai Super Kings","Dwaine Pretorius","Punjab Kings","Wankhede Stadium",2022,1,0,1,Inf,100
"Chennai Super Kings","Dwaine Pretorius","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",2022,13,1,8,13,162.5
"Chennai Super Kings","Dwayne Bravo","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",2012,43,0,18,Inf,238.888888888889
"Chennai Super Kings","Dwayne Bravo","Deccan Chargers","MA Chidambaram Stadium",2012,12,0,4,Inf,300
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",2019,0,0,1,NA,0
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Dr DY Patil Sports Academy",2022,1,0,1,Inf,100
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Feroz Shah Kotla",2012,22,1,31,22,70.9677419354839
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Feroz Shah Kotla",2013,3,1,2,3,150
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Feroz Shah Kotla",2018,1,1,2,1,50
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Feroz Shah Kotla",2019,4,0,3,Inf,133.333333333333
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","MA Chidambaram Stadium",2012,33,0,12,Inf,275
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","MA Chidambaram Stadium",2013,12,0,8,Inf,150
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","MA Chidambaram Stadium",2015,1,1,3,1,33.3333333333333
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",2015,8,1,8,8,100
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","Eden Gardens",2012,11,0,7,Inf,157.142857142857
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","Eden Gardens",2013,7,0,4,Inf,175
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","Eden Gardens",2015,30,1,32,30,93.75
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","MA Chidambaram Stadium",2012,12,1,12,12,100
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","MA Chidambaram Stadium",2015,5,1,7,5,71.4285714285714
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","MA Chidambaram Stadium",2018,11,0,5,Inf,220
"Chennai Super Kings","Dwayne Bravo","Lucknow Super Giants","Brabourne Stadium",2022,1,0,1,Inf,100
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Dr DY Patil Sports Academy",2022,1,0,1,Inf,100
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Dubai International Cricket Stadium",2021,23,1,8,23,287.5
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Eden Gardens",2013,15,1,16,15,93.75
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Eden Gardens",2015,9,1,6,9,150
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","M Chinnaswamy Stadium",2012,33,0,14,Inf,235.714285714286
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","MA Chidambaram Stadium",2012,19,1,19,19,100
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","MA Chidambaram Stadium",2013,10,1,17,10,58.8235294117647
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","MA Chidambaram Stadium",2019,20,1,17,20,117.647058823529
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Maharashtra Cricket Association Stadium",2018,0,1,1,0,0
