"Bowling_Team","Bowler","Batting_Team","Stadium","Runs","Wickets","Balls","Season","Average","Economy"
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","MA Chidambaram Stadium",26,2,24,"All",13,6.5
"Chennai Super Kings","Doug Bollinger","Deccan Chargers","Vidarbha Cricket Association Stadium",31,0,18,"All",Inf,10.3333333333333
"Chennai Super Kings","Doug Bollinger","Delhi Capitals","Feroz Shah Kotla",18,0,12,"All",Inf,9
"Chennai Super Kings","Doug Bollinger","Delhi Capitals","MA Chidambaram Stadium",62,3,48,"All",20.6666666666667,7.75
"Chennai Super Kings","Doug Bollinger","Kochi Tuskers Kerala","MA Chidambaram Stadium",38,1,24,"All",38,9.5
"Chennai Super Kings","Doug Bollinger","Kochi Tuskers Kerala","Nehru Stadium",18,1,18,"All",18,6
"Chennai Super Kings","Doug Bollinger","Kolkata Knight Riders","Eden Gardens",6,0,6,"All",Inf,6
"Chennai Super Kings","Doug Bollinger","Kolkata Knight Riders","MA Chidambaram Stadium",15,2,24,"All",7.5,3.75
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","Dr DY Patil Sports Academy",31,1,24,"All",31,7.75
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","MA Chidambaram Stadium",73,2,47,"All",36.5,9.31914893617021
"Chennai Super Kings","Doug Bollinger","Mumbai Indians","Wankhede Stadium",30,2,24,"All",15,7.5
"Chennai Super Kings","Doug Bollinger","Pune Warriors","Dr DY Patil Sports Academy",21,3,24,"All",7,5.25
"Chennai Super Kings","Doug Bollinger","Pune Warriors","MA Chidambaram Stadium",50,3,42,"All",16.6666666666667,7.14285714285714
"Chennai Super Kings","Doug Bollinger","Punjab Kings","Himachal Pradesh Cricket Association Stadium",39,0,24,"All",Inf,9.75
"Chennai Super Kings","Doug Bollinger","Rajasthan Royals","MA Chidambaram Stadium",74,3,72,"All",24.6666666666667,6.16666666666667
"Chennai Super Kings","Doug Bollinger","Rajasthan Royals","Sawai Mansingh Stadium",22,3,24,"All",7.33333333333333,5.5
"Chennai Super Kings","Doug Bollinger","Royal Challengers Bangalore","M Chinnaswamy Stadium",34,0,24,"All",Inf,8.5
"Chennai Super Kings","Doug Bollinger","Royal Challengers Bangalore","MA Chidambaram Stadium",52,4,36,"All",13,8.66666666666667
"Chennai Super Kings","Doug Bollinger","Royal Challengers Bangalore","Wankhede Stadium",20,1,24,"All",20,5
"Chennai Super Kings","Dwaine Pretorius","Lucknow Super Giants","Brabourne Stadium",31,2,24,"All",15.5,7.75
"Chennai Super Kings","Dwaine Pretorius","Mumbai Indians","Dr DY Patil Sports Academy",17,0,12,"All",Inf,8.5
"Chennai Super Kings","Dwaine Pretorius","Punjab Kings","Brabourne Stadium",30,2,24,"All",15,7.5
"Chennai Super Kings","Dwaine Pretorius","Punjab Kings","Wankhede Stadium",50,0,24,"All",Inf,12.5
"Chennai Super Kings","Dwaine Pretorius","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",42,1,18,"All",42,14
"Chennai Super Kings","Dwaine Pretorius","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",40,1,24,"All",40,10
"Chennai Super Kings","Dwayne Bravo","Deccan Chargers","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",10,0,6,"All",Inf,10
"Chennai Super Kings","Dwayne Bravo","Deccan Chargers","MA Chidambaram Stadium",35,0,24,"All",Inf,8.75
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",19,2,24,"All",9.5,4.75
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Dr DY Patil Sports Academy",24,2,16,"All",12,9
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Dubai International Cricket Stadium",51,2,28,"All",25.5,10.9285714285714
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Feroz Shah Kotla",98,4,63,"All",24.5,9.33333333333333
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","MA Chidambaram Stadium",140,7,126,"All",20,6.66666666666667
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Maharashtra Cricket Association Stadium",43,0,18,"All",Inf,14.3333333333333
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Sharjah Cricket Stadium",23,1,18,"All",23,7.66666666666667
"Chennai Super Kings","Dwayne Bravo","Delhi Capitals","Wankhede Stadium",28,1,24,"All",28,7
"Chennai Super Kings","Dwayne Bravo","Gujarat Titans","Maharashtra Cricket Association Stadium",23,3,24,"All",7.66666666666667,5.75
"Chennai Super Kings","Dwayne Bravo","Kochi Tuskers Kerala","MA Chidambaram Stadium",36,1,24,"All",36,9
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","Dubai International Cricket Stadium",29,1,24,"All",29,7.25
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","Eden Gardens",85,1,52,"All",85,9.80769230769231
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","MA Chidambaram Stadium",185,7,106,"All",26.4285714285714,10.4716981132075
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","Wankhede Stadium",20,3,24,"All",6.66666666666667,5
"Chennai Super Kings","Dwayne Bravo","Kolkata Knight Riders","Zayed Cricket Stadium",37,3,24,"All",12.3333333333333,9.25
"Chennai Super Kings","Dwayne Bravo","Lucknow Super Giants","Brabourne Stadium",35,1,24,"All",35,8.75
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Dr DY Patil Sports Academy",36,2,24,"All",18,9
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Dubai International Cricket Stadium",25,3,24,"All",8.33333333333333,6.25
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Eden Gardens",78,6,48,"All",13,9.75
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Feroz Shah Kotla",9,3,18,"All",3,3
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","M Chinnaswamy Stadium",10,2,18,"All",5,3.33333333333333
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","MA Chidambaram Stadium",134,4,98,"All",33.5,8.20408163265306
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Maharashtra Cricket Association Stadium",21,1,18,"All",21,7
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Rajiv Gandhi International Stadium",24,0,18,"All",Inf,8
"Chennai Super Kings","Dwayne Bravo","Mumbai Indians","Wankhede Stadium",218,9,150,"All",24.2222222222222,8.72
"Chennai Super Kings","Dwayne Bravo","Pune Warriors","MA Chidambaram Stadium",63,4,48,"All",15.75,7.875
"Chennai Super Kings","Dwayne Bravo","Pune Warriors","Subrata Roy Sahara Stadium",49,1,42,"All",49,7
"Chennai Super Kings","Dwayne Bravo","Punjab Kings","Brabourne Stadium",32,1,18,"All",32,10.6666666666667
"Chennai Super Kings","Dwayne Bravo","Punjab Kings","Dubai International Cricket Stadium",70,0,36,"All",Inf,11.6666666666667
"Chennai Super Kings","Dwayne Bravo","Punjab Kings","Himachal Pradesh Cricket Association Stadium",18,2,18,"All",9,6
"Chennai Super Kings","Dwayne Bravo","Punjab Kings","MA Chidambaram Stadium",75,5,66,"All",15,6.81818181818182
"Chennai Super Kings","Dwayne Bravo","Punjab Kings","Maharashtra Cricket Association Stadium",39,2,24,"All",19.5,9.75
"Chennai Super Kings","Dwayne Bravo","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",64,1,48,"All",64,8
"Chennai Super Kings","Dwayne Bravo","Punjab Kings","Punjab Cricket Association Stadium",47,4,36,"All",11.75,7.83333333333333
"Chennai Super Kings","Dwayne Bravo","Punjab Kings","Wankhede Stadium",52,3,36,"All",17.3333333333333,8.66666666666667
"Chennai Super Kings","Dwayne Bravo","Rajasthan Royals","MA Chidambaram Stadium",143,6,90,"All",23.8333333333333,9.53333333333333
"Chennai Super Kings","Dwayne Bravo","Rajasthan Royals","Maharashtra Cricket Association Stadium",16,2,12,"All",8,8
"Chennai Super Kings","Dwayne Bravo","Rajasthan Royals","Sardar Patel Stadium",30,1,14,"All",30,12.8571428571429
"Chennai Super Kings","Dwayne Bravo","Rajasthan Royals","Sawai Mansingh Stadium",140,3,83,"All",46.6666666666667,10.1204819277108
"Chennai Super Kings","Dwayne Bravo","Rajasthan Royals","Wankhede Stadium",28,1,18,"All",28,9.33333333333333
