"Bowling_Team","Bowler","Season","Runs","Wickets","Balls","Batting_Team","Stadium","Average","Economy"
"Pune Warriors","Kamran Khan",2011,47,0,18,"All","All",Inf,15.6666666666667
"Pune Warriors","Kane Richardson",2013,101,2,71,"All","All",50.5,8.53521126760563
"Pune Warriors","Krishnakant Upadhyay",2012,33,0,24,"All","All",Inf,8.25
"Pune Warriors","Krishnakant Upadhyay",2013,48,0,30,"All","All",Inf,9.6
"Pune Warriors","Luke Wright",2012,24,0,12,"All","All",Inf,12
"Pune Warriors","Luke Wright",2013,100,2,59,"All","All",50,10.1694915254237
"Pune Warriors","Marlon Samuels",2012,216,8,172,"All","All",27,7.53488372093023
"Pune Warriors","Marlon Samuels",2013,34,1,24,"All","All",34,8.5
"Pune Warriors","Michael Clarke",2012,67,2,66,"All","All",33.5,6.09090909090909
"Pune Warriors","Mitchell Marsh",2011,99,7,85,"All","All",14.1428571428571,6.98823529411765
"Pune Warriors","Mitchell Marsh",2013,182,7,116,"All","All",26,9.41379310344828
"Pune Warriors","Mithun Manhas",2011,42,0,42,"All","All",Inf,6
"Pune Warriors","Murali Kartik",2011,166,1,125,"All","All",166,7.968
"Pune Warriors","Murali Kartik",2012,266,4,216,"All","All",66.5,7.38888888888889
"Pune Warriors","Nathan McCullum",2011,34,0,30,"All","All",Inf,6.8
"Pune Warriors","Parvez Rasool",2013,28,1,30,"All","All",28,5.6
"Pune Warriors","Rahul Sharma",2011,273,16,300,"All","All",17.0625,5.46
"Pune Warriors","Rahul Sharma",2012,300,9,222,"All","All",33.3333333333333,8.10810810810811
"Pune Warriors","Rahul Sharma",2013,281,9,246,"All","All",31.2222222222222,6.85365853658537
"Pune Warriors","Raiphi Gomez",2013,5,0,6,"All","All",Inf,5
"Pune Warriors","Sachin Rana",2011,2,0,4,"All","All",Inf,3
"Pune Warriors","Shrikant Mundhe",2011,6,1,6,"All","All",6,6
"Pune Warriors","Shrikant Wagh",2011,121,4,96,"All","All",30.25,7.5625
"Pune Warriors","Sourav Ganguly",2012,95,2,60,"All","All",47.5,9.5
"Pune Warriors","Steven Smith",2012,5,0,2,"All","All",Inf,15
"Pune Warriors","Tirumalasetti Suman",2013,15,1,12,"All","All",15,7.5
"Pune Warriors","Wayne Parnell",2011,213,9,176,"All","All",23.6666666666667,7.26136363636364
"Pune Warriors","Wayne Parnell",2012,128,5,126,"All","All",25.6,6.09523809523809
"Pune Warriors","Wayne Parnell",2013,137,7,89,"All","All",19.5714285714286,9.23595505617978
"Pune Warriors","Yuvraj Singh",2011,192,9,174,"All","All",21.3333333333333,6.62068965517241
"Pune Warriors","Yuvraj Singh",2013,152,6,132,"All","All",25.3333333333333,6.90909090909091
