"Striker","Season","Bowler","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Average","Strike_Rate"
"AB de Villiers",2012,"Kevon Cooper","Royal Challengers Bangalore","Rajasthan Royals",17,0,7,0,"All",Inf,242.857142857143
"AB de Villiers",2012,"Kieron Pollard","Royal Challengers Bangalore","Mumbai Indians",2,1,3,0,"All",2,66.6666666666667
"AB de Villiers",2012,"Lakshmipathy Balaji","Royal Challengers Bangalore","Kolkata Knight Riders",2,1,2,0,"All",2,100
"AB de Villiers",2012,"Lasith Malinga","Royal Challengers Bangalore","Mumbai Indians",3,0,4,0,"All",Inf,75
"AB de Villiers",2012,"Morne Morkel","Royal Challengers Bangalore","Delhi Capitals",4,0,5,0,"All",Inf,80
"AB de Villiers",2012,"Pankaj Singh","Royal Challengers Bangalore","Rajasthan Royals",2,0,3,0,"All",Inf,66.6666666666667
"AB de Villiers",2012,"Parvinder Awana","Royal Challengers Bangalore","Punjab Kings",10,0,4,0,"All",Inf,250
"AB de Villiers",2012,"Piyush Chawla","Royal Challengers Bangalore","Punjab Kings",13,1,16,0,"All",13,81.25
"AB de Villiers",2012,"Praveen Kumar","Royal Challengers Bangalore","Punjab Kings",2,0,2,0,"All",Inf,100
"AB de Villiers",2012,"Rajat Bhatia","Royal Challengers Bangalore","Kolkata Knight Riders",2,0,4,0,"All",Inf,50
"AB de Villiers",2012,"Ravindra Jadeja","Royal Challengers Bangalore","Chennai Super Kings",4,0,1,0,"All",Inf,400
"AB de Villiers",2012,"Shahbaz Nadeem","Royal Challengers Bangalore","Delhi Capitals",16,0,14,0,"All",Inf,114.285714285714
"AB de Villiers",2012,"Siddharth Trivedi","Royal Challengers Bangalore","Rajasthan Royals",23,1,9,0,"All",23,255.555555555556
"AB de Villiers",2012,"Umesh Yadav","Royal Challengers Bangalore","Delhi Capitals",1,0,1,0,"All",Inf,100
"AB de Villiers",2012,"Veer Pratap Singh","Royal Challengers Bangalore","Deccan Chargers",4,0,8,0,"All",Inf,50
"AB de Villiers",2013,"Ajantha Mendis","Royal Challengers Bangalore","Pune Warriors",6,0,4,0,"All",Inf,150
"AB de Villiers",2013,"Ajit Chandila","Royal Challengers Bangalore","Rajasthan Royals",13,0,6,0,"All",Inf,216.666666666667
"AB de Villiers",2013,"Amit Mishra","Royal Challengers Bangalore","Sunrisers Hyderabad",3,0,6,0,"All",Inf,50
"AB de Villiers",2013,"Ashish Nehra","Royal Challengers Bangalore","Delhi Capitals",7,0,3,0,"All",Inf,233.333333333333
"AB de Villiers",2013,"Ashish Reddy","Royal Challengers Bangalore","Sunrisers Hyderabad",7,0,3,0,"All",Inf,233.333333333333
"AB de Villiers",2013,"Ashok Dinda","Royal Challengers Bangalore","Pune Warriors",47,0,14,0,"All",Inf,335.714285714286
"AB de Villiers",2013,"Bhuvneshwar Kumar","Royal Challengers Bangalore","Pune Warriors",8,0,4,0,"All",Inf,200
"AB de Villiers",2013,"Cameron White","Royal Challengers Bangalore","Sunrisers Hyderabad",1,1,2,0,"All",1,50
"AB de Villiers",2013,"Chris Morris","Royal Challengers Bangalore","Chennai Super Kings",20,0,6,0,"All",Inf,333.333333333333
"AB de Villiers",2013,"Dhawal Kulkarni","Royal Challengers Bangalore","Mumbai Indians",1,1,2,0,"All",1,50
"AB de Villiers",2013,"Dirk Nannes","Royal Challengers Bangalore","Chennai Super Kings",14,1,7,0,"All",14,200
"AB de Villiers",2013,"Dwayne Bravo","Royal Challengers Bangalore","Chennai Super Kings",22,0,12,0,"All",Inf,183.333333333333
"AB de Villiers",2013,"Harbhajan Singh","Royal Challengers Bangalore","Mumbai Indians",1,0,1,0,"All",Inf,100
"AB de Villiers",2013,"Irfan Pathan","Royal Challengers Bangalore","Delhi Capitals",17,0,11,0,"All",Inf,154.545454545455
"AB de Villiers",2013,"Ishant Sharma","Royal Challengers Bangalore","Sunrisers Hyderabad",1,0,2,0,"All",Inf,50
"AB de Villiers",2013,"Jacques Kallis","Royal Challengers Bangalore","Kolkata Knight Riders",4,0,7,0,"All",Inf,57.1428571428571
"AB de Villiers",2013,"James Faulkner","Royal Challengers Bangalore","Rajasthan Royals",1,0,2,0,"All",Inf,50
"AB de Villiers",2013,"Lakshmipathy Balaji","Royal Challengers Bangalore","Kolkata Knight Riders",10,1,8,0,"All",10,125
