"Striker","Season","Batting_Team","Bowling_Team","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Average","Strike_Rate"
"AB de Villiers",2018,"Royal Challengers Bangalore","Chennai Super Kings","M Chinnaswamy Stadium",68,1,30,0,"All",68,226.666666666667
"AB de Villiers",2018,"Royal Challengers Bangalore","Chennai Super Kings","Maharashtra Cricket Association Stadium",1,1,4,0,"All",1,25
"AB de Villiers",2018,"Royal Challengers Bangalore","Delhi Capitals","Feroz Shah Kotla",72,0,37,0,"All",Inf,194.594594594595
"AB de Villiers",2018,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium",90,0,39,0,"All",Inf,230.769230769231
"AB de Villiers",2018,"Royal Challengers Bangalore","Kolkata Knight Riders","Eden Gardens",44,1,23,0,"All",44,191.304347826087
"AB de Villiers",2018,"Royal Challengers Bangalore","Mumbai Indians","Wankhede Stadium",1,1,2,0,"All",1,50
"AB de Villiers",2018,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",57,1,40,0,"All",57,142.5
"AB de Villiers",2018,"Royal Challengers Bangalore","Rajasthan Royals","M Chinnaswamy Stadium",20,1,18,0,"All",20,111.111111111111
"AB de Villiers",2018,"Royal Challengers Bangalore","Rajasthan Royals","Sawai Mansingh Stadium",53,1,35,0,"All",53,151.428571428571
"AB de Villiers",2018,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",69,1,39,0,"All",69,176.923076923077
"AB de Villiers",2018,"Royal Challengers Bangalore","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",5,1,8,0,"All",5,62.5
"AB de Villiers",2019,"Royal Challengers Bangalore","Chennai Super Kings","M Chinnaswamy Stadium",25,1,19,0,"All",25,131.578947368421
"AB de Villiers",2019,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",9,1,10,0,"All",9,90
"AB de Villiers",2019,"Royal Challengers Bangalore","Delhi Capitals","Feroz Shah Kotla",17,1,19,0,"All",17,89.4736842105263
"AB de Villiers",2019,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium",17,1,16,0,"All",17,106.25
"AB de Villiers",2019,"Royal Challengers Bangalore","Kolkata Knight Riders","M Chinnaswamy Stadium",63,1,32,0,"All",63,196.875
"AB de Villiers",2019,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",70,0,41,0,"All",Inf,170.731707317073
"AB de Villiers",2019,"Royal Challengers Bangalore","Mumbai Indians","Wankhede Stadium",75,1,51,1,"All",Inf,147.058823529412
"AB de Villiers",2019,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",82,0,44,0,"All",Inf,186.363636363636
